code;name
A00;C«¸lera
A01;Febres Tif«¸ide e Paratif«¸ide
A02;Outras Infec«ı«Êes Por Salmonella
A03;Shiguelose
A04;Outras Infec«ı«Êes Intestinais Bacterianas
A05;Outras Intoxica«ı«Êes Alimentares Bacterianas, N«úo Classificadas em Outra Parte
A06;Ameb«ase
A07;Outras Doen«ıas Intestinais Por Protozo«≠rios
A08;Infec«ı«Êes Intestinais Virais, Outras e as N«úo Especificadas
A09;Diarr«∏ia e Gastroenterite de Origem Infecciosa Presum«vel
A15;Tuberculose Respirat«¸ria, Com Confirma«ı«úo Bacteriol«¸gica e Histol«¸gica
A16;Tuberculose Das Vias Respirat«¸rias, Sem Confirma«ı«úo Bacteriol«¸gica ou Histol«¸gica
A17;Tuberculose do Sistema Nervoso
A18;Tuberculose de Outros «?rg«úos
A19;Tuberculose Miliar
A20;Peste
A21;Tularemia
A22;Carb«ßnculo
A23;Brucelose
A24;Mormo e Melioidose
A25;Febres Transmitidas Por Mordedura de Rato
A26;Erisipel«¸ide
A27;Leptospirose
A28;Outras Doen«ıas Bacterianas Zoon«¸ticas N«úo Classificadas em Outra Parte
A30;Hansen«ase (doen«ıa de Hansen) (lepra)
A31;Infec«ı«Êes Devidas a Outras Micobact«∏rias
A32;Listeriose (lister«ase)
A33;T«∏tano do Rec«∏m-nascido (neonatal)
A34;T«∏tano Obst«∏trico
A35;Outros Tipos de T«∏tano
A36;Difteria
A37;Coqueluche
A38;Escarlatina
A39;Infec«ı«úo Meningog«¸cica
A40;Septicemia Estreptoc«¸cica
A41;Outras Septicemias
A42;Actinomicose
A43;Nocardiose
A44;Bartonelose
A46;Erisipela
A48;Outras Doen«ıas Bacterianas N«úo Classificadas em Outra Parte
A49;Infec«ı«úo Bacteriana de Localiza«ı«úo N«úo Especificada
A50;S«filis Cong«¶nita
A51;S«filis Precoce
A52;S«filis Tardia
A53;Outras Formas e as N«úo Especificadas da S«filis
A54;Infec«ı«úo Gonoc«¸cica
A55;Linfogranuloma (ven«∏reo) Por Clam«dia
A56;Outras Infec«ı«Êes Causadas Por Clam«dias Transmitidas Por Via Sexual
A57;Cancro Mole
A58;Granuloma Inguinal
A59;Tricomon«ase
A60;Infec«ı«Êes Anogenitais Pelo V«rus do Herpes (herpes Simples)
A63;Outras Doen«ıas de Transmiss«úo Predominantemente Sexual, N«úo Classificadas em Outra Parte
A64;Doen«ıas Sexualmente Transmitidas, N«úo Especificadas
A65;S«filis N«úo-ven«∏rea
A66;Bouba
A67;Pinta (carate)
A68;Febres Recorrentes (Borrelioses)
A69;Outras Infec«ı«Êes Por Espiroquetas
A70;Infec«ı«Êes Causadas Por Clam«dia Psittaci
A71;Tracoma
A74;Outras Doen«ıas Causadas Por Clam«dias
A75;Tifo Exantem«≠tico
A77;Febre Maculosa (rickettsioses Transmitidas Por Carrapatos)
A78;Febre Q
A79;Outras Rickettsioses
A80;Poliomielite Aguda
A81;Infec«ı«Êes Por V«rus At«picos do Sistema Nervoso Central
A82;Raiva
A83;Encefalite Por V«rus Transmitidos Por Mosquitos
A84;Encefalite Por V«rus Transmitido Por Carrapatos
A85;Outras Encefalites Virais, N«úo Classificadas em Outra Parte
A86;Encefalite Viral, N«úo Especificada
A87;Meningite Viral
A88;Outras Infec«ı«Êes Virais do Sistema Nervoso Central N«úo Classificadas em Outra Parte
A89;Infec«ı«Êes Virais N«úo Especificadas do Sistema Nervoso Central
A90;Dengue (dengue Cl«≠ssico)
A91;Febre Hemorr«≠gica Devida ao V«rus do Dengue
A92;Outras Febres Virais Transmitidas Por Mosquitos
A93;Outras Febres Por V«rus Transmitidas Por Artr«¸podes N«úo Classificadas em Outra Parte
A94;Febre Viral Transmitida Por Artr«¸podes, N«úo Especificada
A95;Febre Amarela
A96;Febre Hemorr«≠gica Por Arenav«rus
A98;Outras Febres Hemorr«≠gicas Por V«rus, N«úo Classificadas em Outra Parte
A99;Febres Hemorr«≠gicas Virais N«úo Especificadas
B00;Infec«ı«Êes Pelo V«rus do Herpes (herpes Simples)
B01;Varicela (Catapora)
B02;Herpes Zoster (Zona)
B03;Var«ola
B04;Var«ola Dos Macacos (Monkeypox)
B05;Sarampo
B06;Rub«∏ola
B07;Verrugas de Origem Viral
B08;Outras Infec«ı«Êes Virais Caracterizadas Por Les«Êes da Pele e Das Membranas Mucosas, N«úo Classificadas em Outra Parte
B09;Infec«ı«úo Viral N«úo Especificada Caracterizada Por Les«Êes da Pele e Membranas Mucosas
B15;Hepatite Aguda A
